TIMESTAMP,MODULE,FUNCTION,LEVEL,MESSAGE
2022-07-18 09:40:54.362,transport,_log,DEBUG,"Got server p (2048 bits)"
2022-07-18 09:40:54.785,transport,_log,DEBUG,"kex engine KexGex specified hash_algo <built-in function openssl_sha1>"
2022-07-18 09:40:54.786,transport,_log,DEBUG,"Switch to new keys ..."
2022-07-18 09:40:54.787,transport,_log,DEBUG,"Adding ssh-rsa host key for 10.20.126.113: b'4437506ecde874f2279a8b6701bac23a'"
2022-07-18 09:40:54.990,transport,_log,DEBUG,"userauth is OK"
2022-07-18 09:40:55.022,transport,_log,INFO,"Authentication (password) successful!"
2022-07-18 09:40:55.027,channel,_log,DEBUG,"[chan 0] Max packet in: 32768 bytes"
2022-07-18 09:40:55.034,channel,_log,DEBUG,"[chan 0] Max packet out: 4096 bytes"
2022-07-18 09:40:55.034,transport,_log,DEBUG,"Secsh channel 0 opened."
2022-07-18 09:40:55.038,channel,_log,DEBUG,"[chan 0] Sesch channel 0 request ok"
2022-07-18 09:40:55.043,channel,_log,DEBUG,"[chan 0] Sesch channel 0 request ok"
2022-07-18 09:41:29.404,configure_window,interface_submit_callback,INFO,"Sending interface commands ['conf t', 'interface Gi1/0/5', 'switchport mode access', 'no switchport trunk native vlan', 'switchport access vlan 114', 'no switchport voice vlan', 'spanning-tree portfast', 'spanning-tree bpduguard enable', 'description BusinessPC', 'no shutdown', 'interface Gi1/0/6', 'switchport mode access', 'no switchport trunk native vlan', 'switchport access vlan 114', 'no switchport voice vlan', 'spanning-tree portfast', 'spanning-tree bpduguard enable', 'description BusinessPC', 'no shutdown', 'interface Gi1/0/7', 'switchport mode access', 'no switchport trunk native vlan', 'switchport access vlan 114', 'no switchport voice vlan', 'spanning-tree portfast', 'spanning-tree bpduguard enable', 'description BusinessPC', 'no shutdown', 'interface Gi1/0/8', 'switchport mode access', 'no switchport trunk native vlan', 'switchport access vlan 114', 'no switchport voice vlan', 'spanning-tree portfast', 'spanning-tree bpduguard enable', 'description BusinessPC', 'no shutdown', 'interface Gi1/0/9', 'switchport mode access', 'no switchport trunk native vlan', 'switchport access vlan 114', 'no switchport voice vlan', 'spanning-tree portfast', 'spanning-tree bpduguard enable', 'description BusinessPC', 'no shutdown', 'interface Gi1/0/10', 'switchport mode access', 'no switchport trunk native vlan', 'switchport access vlan 114', 'no switchport voice vlan', 'spanning-tree portfast', 'spanning-tree bpduguard enable', 'description BusinessPC', 'no shutdown', 'end'] to KNK-ITConf-Aux"
2022-07-18 09:41:57.203,configure_window,interface_submit_callback,INFO,"Sending interface commands ['conf t', 'interface Gi1/0/5', 'switchport mode access', 'no switchport trunk native vlan', 'switchport access vlan 114', 'switchport voice vlan 450', 'spanning-tree portfast', 'spanning-tree bpduguard enable', 'description BusinessPC', 'no shutdown', 'interface Gi1/0/6', 'switchport mode access', 'no switchport trunk native vlan', 'switchport access vlan 114', 'switchport voice vlan 450', 'spanning-tree portfast', 'spanning-tree bpduguard enable', 'description BusinessPC', 'no shutdown', 'interface Gi1/0/7', 'switchport mode access', 'no switchport trunk native vlan', 'switchport access vlan 114', 'switchport voice vlan 450', 'spanning-tree portfast', 'spanning-tree bpduguard enable', 'description BusinessPC', 'no shutdown', 'interface Gi1/0/8', 'switchport mode access', 'no switchport trunk native vlan', 'switchport access vlan 114', 'switchport voice vlan 450', 'spanning-tree portfast', 'spanning-tree bpduguard enable', 'description BusinessPC', 'no shutdown', 'interface Gi1/0/9', 'switchport mode access', 'no switchport trunk native vlan', 'switchport access vlan 114', 'switchport voice vlan 450', 'spanning-tree portfast', 'spanning-tree bpduguard enable', 'description BusinessPC', 'no shutdown', 'interface Gi1/0/10', 'switchport mode access', 'no switchport trunk native vlan', 'switchport access vlan 114', 'switchport voice vlan 450', 'spanning-tree portfast', 'spanning-tree bpduguard enable', 'description BusinessPC', 'no shutdown', 'end'] to KNK-ITConf-Aux"
2022-07-18 09:42:04.295,configure_window,interface_status_callback,INFO,"Sending button command 'interface status' to KNK-ITConf-Aux"
2022-07-18 09:42:09.068,configure_window,write_config_callback,INFO,"WRITING running configuration..."
2022-07-18 09:42:10.176,configure_window,write_config_callback,INFO,"'Building configuration... [OK]'"
2022-07-18 09:42:12.885,configure_window,close_window,INFO,"Configure window exit action has been invoked. Performing closing actions."
2022-07-18 09:42:14.331,main_window,close_window,INFO,"Main window exit action has been invoked. Performing closing actions."
2022-07-18 09:42:14.368,transport,_log,DEBUG,"EOF in transport thread"
2022-07-18 09:42:14.368,transport,_log,DEBUG,"EOF in transport thread"
